RK,Team,Year,G,W,L,Conf,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
7,Los Angeles Lakers*,1996,82,53,29,West,240,39.2,81.8,0.48,5.8,16.6,0.351,33.4,65.2,0.512,18.6,25,0.746,12.1,28.1,25.4,8.8,6.3,14.2,20.8,102.9
8,Charlotte Hornets,1996,82,41,41,East,242.4,37.9,80.7,0.47,7.1,18.5,0.384,30.8,62.2,0.495,19.9,25.8,0.77,12,27.5,23.3,7.1,3.4,15.1,22.1,102.8
9,Dallas Mavericks,1996,82,26,56,West,243,38.1,90.6,0.42,9,24.9,0.36,29.1,65.8,0.443,17.4,24.1,0.722,17.2,29,23.3,7.8,4.2,15.5,22.4,102.5
10,Washington Bullets,1996,82,39,43,East,241.5,39,80.7,0.484,6,14.8,0.407,33,65.9,0.501,18.4,25.3,0.728,11.3,28.4,22.1,7.2,6.2,16.2,24.2,102.5
11,Houston Rockets*,1996,82,48,34,West,241.5,37.5,81,0.464,7.8,21.5,0.362,29.8,59.5,0.501,19.6,25.7,0.765,11.2,29.9,24.2,7.9,5.8,15.2,21.4,102.5
12,Utah Jazz*,1996,82,55,27,West,241.2,38.2,78.3,0.488,4.6,12.4,0.372,33.6,65.9,0.509,21.6,28.1,0.768,12.1,28.9,26.1,8.1,5.1,14.8,25,102.5
13,Golden State Warriors,1996,82,36,46,West,240.9,37.3,81.7,0.456,5.5,14.6,0.373,31.8,67.1,0.474,21.6,28.5,0.759,14.3,27.9,23,8.6,5.7,16.4,22.4,101.6
14,Sacramento Kings*,1996,82,39,43,West,240.9,36.2,79.2,0.457,5.6,14.6,0.387,30.6,64.6,0.473,21.5,29.4,0.731,13.6,28.6,22.3,7.8,5.3,17.6,26,99.5
15,Los Angeles Clippers,1996,82,29,53,West,240.6,38.1,80.7,0.472,6.2,16.8,0.37,31.9,64,0.499,17,24.2,0.702,11.9,26.7,20.4,8.6,5,16.5,24.5,99.4
16,Portland Trail Blazers*,1996,82,44,38,West,242.7,37.4,81.6,0.458,5.9,16.6,0.353,31.5,65,0.485,18.7,28.3,0.662,14.1,31.4,21.5,7.2,5.1,16.8,22.7,99.3
17,Indiana Pacers*,1996,82,52,30,East,240.9,36.3,75.7,0.48,4.4,11.9,0.373,31.9,63.8,0.5,22.2,29.5,0.755,12.3,27.6,23.4,7.1,3.9,16.3,24.8,99.3
18,Atlanta Hawks*,1996,82,46,36,East,240.6,36.4,81.3,0.448,6.9,19.5,0.355,29.5,61.8,0.477,18.6,24.5,0.757,14.4,26.2,19.6,9.4,3.9,15,20.9,98.3
19,Minnesota Timberwolves,1996,82,26,56,West,241.2,36.3,79,0.459,3.4,10.5,0.326,32.9,68.6,0.479,21.9,28.2,0.777,12,27.7,22.8,7.9,5.9,17.4,24.3,97.9
20,Denver Nuggets,1996,82,35,47,West,241.8,36.6,81.2,0.451,4.8,14,0.346,31.8,67.2,0.473,19.7,26.5,0.743,12.9,30.3,22.6,6.4,7.3,15.4,23,97.7
21,Toronto Raptors,1996,82,21,61,East,241.8,37.6,80.5,0.467,5,14.2,0.354,32.6,66.2,0.492,17.2,23.8,0.723,13.1,27,23.5,9.1,6,18.8,24.2,97.5
22,New York Knicks*,1996,82,47,35,East,241.8,36.6,77.8,0.471,5.9,15.7,0.377,30.7,62.2,0.494,18,23.8,0.757,10.1,29.9,22.2,7.9,4.6,15.5,22.7,97.2
23,Miami Heat*,1996,82,42,40,East,241.2,35.4,77.4,0.457,6.7,17.8,0.379,28.7,59.6,0.481,18.9,26.7,0.71,12.2,30.4,21.4,7,5.4,17,26.3,96.5
24,Milwaukee Bucks,1996,82,25,57,East,240.6,37,79.1,0.467,4.4,12.9,0.338,32.6,66.3,0.493,17.2,23.3,0.738,11.9,26.4,21.4,7.1,3.7,15.8,23.7,95.6
25,Detroit Pistons*,1996,82,46,36,East,241.8,34.3,74.7,0.459,6.6,16.5,0.404,27.6,58.2,0.475,20.2,26.9,0.751,10.8,29.8,19.6,6.2,4.3,14.8,23.8,95.4
26,Philadelphia 76ers,1996,82,18,64,East,240.6,34.1,78.3,0.436,6,17.5,0.342,28.1,60.7,0.463,20.3,27.6,0.734,12.6,26.4,19.9,7.8,5.1,17.2,21.7,94.5
27,New Jersey Nets,1996,82,30,52,East,242.7,35.1,82.3,0.427,3,9.1,0.335,32.1,73.2,0.438,20.4,27.4,0.745,16.5,30.5,21.4,7.6,7,16.8,22.9,93.7
28,Cleveland Cavaliers*,1996,82,47,35,East,241.8,33.7,73.1,0.46,7.3,19.3,0.377,26.4,53.9,0.49,16.5,21.6,0.763,10.6,25.1,22.2,8.2,4.1,13.1,20.5,91.1
29,Vancouver Grizzlies,1996,82,15,67,West,242.4,33.8,79.1,0.428,4.5,13.8,0.329,29.3,65.3,0.448,17.6,24.4,0.724,11.7,26.5,20.8,8.9,4.1,16.4,22.6,89.8
1,Chicago Bulls*,1997,82,69,13,East,240.6,40,84.4,0.473,6.4,17.1,0.373,33.6,67.3,0.499,16.8,22.5,0.747,15.1,30,26.1,8.7,4,13.5,19.7,103.1
2,Utah Jazz*,1997,82,64,18,West,241.8,38.2,75.8,0.504,4.1,11,0.37,34.1,64.8,0.526,22.7,29.5,0.769,10.8,29.4,26.8,9.1,5.1,15.4,24.2,103.1
3,Phoenix Suns*,1997,82,40,42,West,242.1,38.3,81.8,0.469,6.4,17.4,0.369,31.9,64.4,0.496,19.7,25.9,0.761,11.2,29,25.2,8.1,3.9,14.4,21.1,102.8
4,Seattle SuperSonics*,1997,82,57,25,West,241.2,36.5,78.2,0.467,6.8,19.3,0.353,29.7,58.9,0.504,21,28,0.752,12.3,27.7,23.5,11,4.7,15,22,100.9
5,Boston Celtics,1997,82,15,67,East,242.7,37.4,85,0.44,5.7,16.2,0.351,31.7,68.7,0.461,20.1,26.8,0.75,13.4,26.7,21.9,9.9,3.8,16.4,23.4,100.6
6,Houston Rockets*,1997,82,57,25,West,242.1,37,79.1,0.468,8.2,22.4,0.365,28.9,56.6,0.509,18.3,24.3,0.755,11.3,31.3,24.5,8.4,4.2,16.6,19.6,100.6
7,Philadelphia 76ers,1997,82,22,60,East,241.2,36.6,83.5,0.438,5.3,16.5,0.319,31.3,67,0.468,21.7,29.9,0.725,15.5,28.7,20.7,8.3,4.8,17.5,21.1,100.2
8,Los Angeles Lakers*,1997,82,56,26,West,243,36.8,81,0.454,6.7,18.3,0.367,30.1,62.7,0.48,19.7,28.4,0.692,13.3,29.4,22.5,9,7,14.9,22.2,100
9,Golden State Warriors,1997,82,30,52,West,242.7,36.5,80.1,0.456,5.9,16.6,0.353,30.7,63.5,0.483,20.7,26.6,0.778,13.2,27.5,22.2,7.5,4.4,17.2,21.8,99.6
10,Washington Bullets*,1997,82,44,38,East,242.1,39.1,81.4,0.48,4,12.2,0.331,35.1,69.2,0.507,17.1,24.1,0.707,12.3,29.5,23.4,8.7,4.9,15.7,22.1,99.4
11,Portland Trail Blazers*,1997,82,49,33,West,242.1,36.6,78.8,0.464,6.1,17.1,0.358,30.5,61.8,0.493,19.7,27.6,0.713,12.9,30.4,20.9,7.8,5.3,16.5,23.5,99
12,Charlotte Hornets*,1997,82,54,28,East,241.5,36.4,77.3,0.471,7.2,16.9,0.428,29.2,60.5,0.483,18.8,24.2,0.777,11.1,28,24.6,7.3,4.3,14.7,20.8,98.9
13,Denver Nuggets,1997,82,21,61,West,243,35.8,81.5,0.439,7.8,20.9,0.372,28,60.7,0.462,18.5,24.3,0.761,12.1,29.9,23,6.1,5.9,16.6,21.8,97.8
14,New Jersey Nets,1997,82,26,56,East,241.2,36.5,86.5,0.422,5.9,16.7,0.353,30.6,69.8,0.439,18.3,24.8,0.74,17.2,29,21,8.3,5.9,15.7,22.7,97.2
15,Los Angeles Clippers*,1997,82,36,46,West,243,36.5,81.7,0.446,5.8,16.3,0.354,30.7,65.3,0.469,18.5,25.3,0.731,13.3,27.3,20.3,8.9,5.4,16,24,97.2
16,Sacramento Kings,1997,82,34,48,West,242.1,36.6,80.6,0.454,5,12.9,0.391,31.5,67.7,0.466,18.2,25.2,0.723,13.4,28.1,21.9,7.2,4.4,16.2,23.7,96.4
17,Minnesota Timberwolves*,1997,82,40,42,West,241.2,35.8,78.5,0.456,4.5,13.3,0.339,31.3,65.2,0.48,20,26.6,0.751,11.7,28.1,22.9,7.5,6.8,15.2,22.2,96.1
18,Toronto Raptors,1997,82,30,52,East,241.8,35.3,80.9,0.437,7.2,19.8,0.363,28.1,61.1,0.461,17.6,24.5,0.72,13.8,27.5,20.9,8.8,6.3,16.4,23,95.5
19,New York Knicks*,1997,82,57,25,East,242.1,35.1,75.9,0.463,5.7,15.8,0.363,29.4,60.2,0.489,19.3,25.8,0.748,11.9,30.7,22.1,7.7,4.6,17.8,24.8,95.4
20,Indiana Pacers,1997,82,39,43,East,243,34.8,76.3,0.456,5.2,13.8,0.381,29.5,62.5,0.472,20.6,28.5,0.722,12.5,29.1,21.3,7.1,4.8,16.3,24.1,95.4
21,Milwaukee Bucks,1997,82,33,49,East,240.6,36.2,76.9,0.471,4,11.2,0.352,32.2,65.6,0.491,19,25.7,0.741,11.6,27.6,19.6,7.7,4.2,15.7,23.1,95.3
22,Miami Heat*,1997,82,61,21,East,241.5,34.4,76,0.453,8.3,22.7,0.364,26.1,53.3,0.491,17.7,24.7,0.719,11.7,29.3,21.2,7.9,5.4,15.9,23.4,94.8
23,Atlanta Hawks*,1997,82,56,26,East,241.5,34.3,76.9,0.446,8,22.4,0.359,26.3,54.5,0.481,18.2,23.8,0.763,12.5,28.7,19,8.5,5.2,15,19.4,94.8
24,Detroit Pistons*,1997,82,54,28,East,241.8,34.5,74.3,0.464,7.1,18.3,0.388,27.4,56,0.488,18.1,24.3,0.745,10.5,28,19,7.7,3.5,12.7,20.1,94.2
25,Orlando Magic*,1997,82,45,37,East,242.1,34.6,79.2,0.437,6.9,20.3,0.341,27.7,59,0.47,18,24.1,0.746,13.1,27.1,20.6,8.5,4.4,15.2,20,94.1
26,Dallas Mavericks,1997,82,24,58,West,241.5,34.3,78.7,0.436,5.2,16,0.327,29.1,62.6,0.464,16.8,23.4,0.717,12.7,27.6,20.3,8,4.3,16.1,21.9,90.6
27,San Antonio Spurs,1997,82,20,62,West,240.6,34.5,77.9,0.442,4.6,14.4,0.32,29.9,63.5,0.47,16.9,23.5,0.719,13.4,26,20.3,7.9,5.3,15.2,21.5,90.5
28,Vancouver Grizzlies,1997,82,14,68,West,241.2,34.4,78.7,0.437,5.4,15.5,0.349,29,63.2,0.458,15,21.1,0.709,12.5,26.3,22.7,8,5.7,15.9,21.4,89.2
29,Cleveland Cavaliers,1997,82,42,40,East,242.1,33,72.8,0.453,5.9,15.7,0.376,27.1,57.2,0.474,15.6,21.6,0.723,11.1,26.3,20.9,8,3.8,14.5,23,87.5
1,Los Angeles Lakers*,1998,82,61,21,West,241.8,38.4,79.7,0.481,6.1,17.3,0.351,32.3,62.5,0.517,22.7,33.5,0.679,13.2,30.1,24.5,9,6.8,15.3,22.7,105.5
2,Minnesota Timberwolves*,1998,82,45,37,West,243,38.5,83.5,0.461,3.7,10.6,0.347,34.8,72.8,0.478,20.4,27.5,0.743,13,29.6,25.2,7.8,5.2,13.9,23,101.1
3,Utah Jazz*,1998,82,62,20,West,241.2,36.5,74.5,0.49,3,8.2,0.372,33.5,66.4,0.504,24.9,32.2,0.773,11.7,29.3,25.2,7.9,5,15.4,23.9,101
4,Seattle SuperSonics*,1998,82,61,21,West,240.9,37.2,78.8,0.473,7.6,19.1,0.396,29.6,59.6,0.497,18.5,25.7,0.721,11.4,27.1,24.2,9.8,4.6,14,22.1,100.6
5,New Jersey Nets*,1998,82,43,39,East,242.4,37.3,84.5,0.441,3.8,11.4,0.331,33.5,73.1,0.458,21.3,28.7,0.744,16.4,26.1,20.5,9.5,3.8,14.4,23.4,99.6
6,Phoenix Suns*,1998,82,56,26,West,243.4,38.3,81.8,0.468,5.3,14.8,0.356,33,67.1,0.492,17.8,23.8,0.749,12.1,29.9,25.9,9.2,5.2,15.1,21.5,99.6
7,Houston Rockets*,1998,82,41,41,West,241.8,35.9,79.4,0.452,7,20.4,0.343,28.9,59.1,0.49,19.9,25.9,0.771,12,28.7,21.9,8.4,3.6,15.8,20.2,98.8
8,Washington Wizards,1998,82,42,40,East,241.5,37.6,83.1,0.452,3.9,11.5,0.339,33.7,71.5,0.47,18.2,26.3,0.691,13.7,28.5,23.2,8.4,4.6,14.1,22.4,97.2
9,Chicago Bulls*,1998,82,62,20,East,242.1,37.4,82.9,0.451,3.8,11.7,0.323,33.6,71.2,0.471,18.2,24.5,0.743,15.2,29.7,23.8,8.5,4.3,14.4,20.6,96.7
10,Charlotte Hornets*,1998,82,51,31,East,241.2,36.2,77.4,0.468,4.2,11,0.383,32,66.3,0.482,20,26.7,0.751,12,28.5,23.7,8.4,3.8,15.2,21.4,96.6
11,Vancouver Grizzlies,1998,82,19,63,West,241.8,36.7,80.1,0.458,4,11,0.362,32.7,69.1,0.473,19.3,26.2,0.739,13.2,28.2,23.9,7.5,4.3,17.1,22.1,96.6
12,Indiana Pacers*,1998,82,58,24,East,241.8,35.6,75.9,0.469,4.9,12.5,0.39,30.7,63.3,0.485,19.9,26,0.764,10.7,28.6,23,7.9,4.5,14.2,22.7,96
13,Los Angeles Clippers,1998,82,17,65,West,241.2,35.7,81.6,0.438,6.4,17.9,0.358,29.3,63.7,0.461,18,25,0.723,12.7,27.8,18.7,7.6,5.6,16.1,22.3,95.9
14,Boston Celtics,1998,82,36,46,East,240.6,36.7,84.6,0.434,5.1,15.2,0.332,31.7,69.3,0.457,17.4,24,0.726,14.6,24.9,22.1,12,4.5,16.2,26.9,95.9
15,Atlanta Hawks*,1998,82,50,32,East,242.4,35.2,77.5,0.455,4.1,12.4,0.332,31.1,65.1,0.478,21.3,28.2,0.756,13.5,29.5,19.1,8,6,14.8,20.4,95.9
16,Miami Heat*,1998,82,55,27,East,240.9,34.8,77.2,0.45,6.7,18.8,0.355,28.1,58.3,0.481,18.8,25.4,0.739,12.5,29.5,21.4,8.1,5.2,15,24.2,95
17,Toronto Raptors,1998,82,16,66,East,243,36.2,83.1,0.435,4.5,13.2,0.343,31.6,69.8,0.453,18,25.1,0.718,14.5,26.2,21.3,9.4,8.1,16.7,22.6,94.9
18,Milwaukee Bucks,1998,82,36,46,East,243,35.6,78,0.456,3,8.6,0.354,32.5,69.5,0.469,20.3,26.4,0.767,12.6,27.3,20.1,8.9,4.4,16.9,23.4,94.5
19,Portland Trail Blazers*,1998,82,46,36,West,241.8,35.2,78,0.451,4,12.8,0.309,31.2,65.2,0.479,20,27.1,0.737,13.2,30.8,21.5,7.1,5.7,16.9,22.7,94.3
20,Detroit Pistons,1998,82,37,45,East,243.4,34.9,77.7,0.449,3.6,11.4,0.312,31.3,66.3,0.473,20.8,27.9,0.745,12.7,28.5,19.5,8.3,4.2,14.6,22,94.2
21,Philadelphia 76ers,1998,82,31,51,East,240.9,34.6,78.2,0.443,3,9.9,0.3,31.6,68.3,0.463,21.1,28.7,0.737,13.7,28,21.1,8.9,6,16.5,22.9,93.3
22,Sacramento Kings,1998,82,27,55,West,240.6,36.1,81.5,0.442,3.5,9.8,0.351,32.6,71.7,0.455,17.6,25.6,0.687,13.3,28.1,22.4,7.3,5.1,15.5,22.1,93.1
23,San Antonio Spurs*,1998,82,56,26,West,241.8,35.3,75.5,0.468,3.7,10.5,0.35,31.7,64.9,0.488,18.2,26.4,0.688,12,32.2,22.4,6.3,6.9,16.1,21.1,92.5
24,Cleveland Cavaliers*,1998,82,47,35,East,241.8,34.4,75.7,0.454,3.6,9.8,0.372,30.7,65.9,0.466,20.2,26.7,0.756,11.6,28.4,23.1,9.9,5.1,17.3,23.6,92.5
25,New York Knicks*,1998,82,43,39,East,241.8,34.9,78.2,0.447,4.7,13.9,0.335,30.3,64.3,0.471,17.1,22.1,0.772,11.9,29.7,21.8,7.7,3.4,15.2,23.7,91.6
26,Dallas Mavericks,1998,82,20,62,West,242.7,35.1,82.4,0.427,5.1,14.4,0.357,30,67.9,0.442,16,21.2,0.753,12.3,27.8,18.7,7.9,5.7,14.4,20,91.4
27,Orlando Magic,1998,82,41,41,East,241.8,33.8,78.7,0.429,3.6,11.1,0.323,30.2,67.7,0.447,18.9,26.1,0.726,14.4,26.9,20.7,7.9,5.4,15.3,19.7,90.1
28,Denver Nuggets,1998,82,11,71,West,240.6,32.6,78.2,0.417,3.5,10.9,0.323,29.1,67.3,0.433,20.2,26.2,0.772,12.7,26.3,18.9,8.1,4.8,16,23.6,89
29,Golden State Warriors,1998,82,19,63,West,241.8,34.7,83.9,0.413,2.3,8.5,0.272,32.4,75.5,0.429,16.6,23.3,0.71,15.7,30.2,20.8,7.6,5.5,16.7,22.7,88.3
1,Sacramento Kings*,1999,50,27,23,West,244,38.4,86.1,0.445,5.8,18.9,0.308,32.6,67.3,0.484,17.7,25.9,0.683,14.1,31.5,22.6,8.9,4.6,16.8,20.3,100.2
2,Los Angeles Lakers*,1999,50,31,19,West,241,36.8,78.7,0.468,4.8,13.7,0.352,32,65,0.492,20.5,30.1,0.683,12.4,29.6,21.9,7.8,5.7,15.1,24.6,99
3,Phoenix Suns*,1999,50,27,23,West,241,35.9,80.1,0.449,5.2,14,0.372,30.7,66,0.465,18.5,24.3,0.76,12,28.4,25,8.9,4,13.6,20.4,95.6
4,Seattle SuperSonics,1999,50,25,25,West,242,35.1,79.5,0.442,6.2,18,0.344,28.9,61.5,0.47,18.4,27.1,0.681,13.5,28.4,21.7,7.9,4,15.3,20.9,94.9
5,Portland Trail Blazers*,1999,50,35,15,West,243.5,34.9,79.1,0.442,4.9,13.5,0.364,30,65.6,0.457,20,27,0.743,12.9,31.4,21.5,8.2,5.8,15.4,22.5,94.8
6,Indiana Pacers*,1999,50,33,17,East,242,34.6,77.3,0.448,5.9,16,0.368,28.7,61.3,0.469,19.5,24.6,0.796,11.5,29,20.1,6.3,4.5,13,21.6,94.7
7,Houston Rockets*,1999,50,31,19,West,241.5,35.1,76,0.462,6.7,18.3,0.368,28.4,57.7,0.492,17.3,23.7,0.729,10.7,30.8,21.2,7.7,5.2,16.2,19.2,94.2
8,Denver Nuggets,1999,50,14,36,West,240.5,33.6,79.8,0.421,6,18.4,0.328,27.6,61.3,0.45,20.2,26.5,0.762,12.9,27.8,19.4,7.5,5.5,14.8,22.9,93.5
9,Utah Jazz*,1999,50,37,13,West,243.5,33.7,72.4,0.465,2.8,7.8,0.361,30.9,64.6,0.478,23.2,30.2,0.767,11.1,30.2,24.1,8,5.5,16.3,22.7,93.3
10,Boston Celtics,1999,50,19,31,East,243,36.3,83.3,0.436,5.5,15.2,0.36,30.9,68.1,0.453,14.9,21.5,0.692,13.6,29.2,21.5,9.1,5.1,16.1,23.9,93
11,Minnesota Timberwolves*,1999,50,25,25,West,240.5,36.8,86.5,0.425,2.4,8.2,0.298,34.3,78.3,0.438,17,22.9,0.743,15.1,27.8,24.4,8.5,5.4,12.8,23.7,92.9
12,Charlotte Hornets,1999,50,26,24,East,243,33.4,74.4,0.449,5.4,14.7,0.365,28.1,59.7,0.47,20.7,27.7,0.747,9.6,29.9,22.2,8.9,4.9,15.9,22,92.9
13,San Antonio Spurs*,1999,50,37,13,West,241.5,34.8,76.2,0.456,3.4,10.4,0.33,31.4,65.8,0.476,19.8,28.3,0.698,12.3,31.7,22,8.4,7,15.2,20.2,92.8
14,Milwaukee Bucks*,1999,50,28,22,East,241,35.1,76.4,0.459,4.6,12.4,0.373,30.4,64,0.476,16.9,23.1,0.733,11.4,27.4,20.6,8.8,4,14.4,22.8,91.7
15,Dallas Mavericks,1999,50,19,31,West,241.5,35,80.7,0.434,4,11.9,0.339,30.9,68.8,0.45,17.6,24.2,0.728,12.9,29.6,18.4,7,5.8,13.8,21.3,91.6
16,New Jersey Nets,1999,50,16,34,East,241,33.8,83.2,0.406,4.5,13.6,0.331,29.3,69.6,0.421,19.2,25,0.769,14.3,28.7,18.5,9.8,5.5,15,22.7,91.4
17,Washington Wizards,1999,50,18,32,East,241,35.4,79.4,0.445,3.6,11.6,0.309,31.8,67.8,0.469,16.9,24,0.705,11.9,28.1,21.3,7.9,3.9,14.7,23,91.2
18,Toronto Raptors,1999,50,23,27,East,241.5,33.2,78.8,0.421,4.5,13.2,0.341,28.7,65.6,0.437,20.2,26.6,0.76,14.2,28.9,20.7,8.8,6.4,16,22.8,91.1
19,Los Angeles Clippers,1999,50,9,41,West,242.5,34.2,80.1,0.427,4.3,13.4,0.32,29.9,66.8,0.448,17.7,24.5,0.721,13.3,25.9,16.4,8.5,4.7,15.9,24.5,90.4
20,Detroit Pistons*,1999,50,29,21,East,241,33.2,74.3,0.447,5,13.6,0.365,28.2,60.7,0.465,19,25.7,0.74,12.1,28.2,20.2,8.9,4.2,15.8,22.8,90.4
21,Philadelphia 76ers*,1999,50,28,22,East,243,33.1,77.7,0.426,2,7.4,0.264,31.2,70.2,0.444,21.5,29.7,0.722,14.6,28.6,18.7,10.8,5.4,16.4,23,89.7
22,Orlando Magic*,1999,50,33,17,East,241,33.7,78.9,0.428,4.5,13.5,0.33,29.3,65.4,0.448,17.5,25,0.7,13.8,28.9,21.3,9.9,4.3,16.4,18.7,89.5
23,Miami Heat*,1999,50,33,17,East,240.5,32.3,71.3,0.453,5.8,16.1,0.359,26.5,55.2,0.481,18.6,25.2,0.735,10.1,30.2,20.4,6.5,6.1,14.9,20.7,89
24,Vancouver Grizzlies,1999,50,8,42,West,243.5,32.9,76.8,0.428,3,9.1,0.327,29.9,67.7,0.442,20.2,28.2,0.717,13,27.2,19.3,8.4,4,17,22.5,88.9
25,Golden State Warriors,1999,50,21,29,West,242.5,34.6,83.5,0.415,3.2,11.3,0.287,31.4,72.2,0.435,15.9,23.5,0.676,16.3,31.2,20.7,8.3,4.4,15.4,25.4,88.3
26,Cleveland Cavaliers,1999,50,22,28,East,241,31.2,71.2,0.439,3.6,10.7,0.341,27.6,60.5,0.456,20.3,27.1,0.749,9.4,26.3,21.9,9,4.1,15.7,24.2,86.4
27,New York Knicks*,1999,50,27,23,East,242,32.2,74.1,0.435,4.2,11.8,0.353,28,62.3,0.45,17.8,24.4,0.732,11,30.2,19.3,7.9,5.2,16.1,22.8,86.4
28,Atlanta Hawks*,1999,50,31,19,East,241.5,30.8,75.2,0.409,3.9,12.9,0.306,26.8,62.3,0.431,20.8,28.4,0.731,13.5,30,15.6,6.9,5.2,14.9,19.7,86.3
29,Chicago Bulls,1999,50,13,37,East,241.5,30.8,76.7,0.401,3.5,12.2,0.289,27.2,64.5,0.422,16.8,23.7,0.709,11.5,27.9,20.3,8.7,3.4,15.5,22.2,81.9
1,Sacramento Kings*,2000,82,44,38,West,241.5,40,88.9,0.45,6.5,20.2,0.322,33.4,68.7,0.487,18.5,24.6,0.754,12.9,32.1,23.8,9.6,4.6,16.2,21.1,105
2,Detroit Pistons*,2000,82,42,40,East,241.8,37.1,80.9,0.459,5.4,14.9,0.359,31.8,66,0.481,23.9,30.6,0.781,11.2,30,20.8,8.1,3.3,15.7,24.5,103.5
3,Dallas Mavericks,2000,82,40,42,West,240.6,39,85.9,0.453,6.3,16.2,0.391,32.6,69.8,0.468,17.2,21.4,0.804,11.4,29.8,22.1,7.2,5.1,13.7,21.6,101.4
4,Indiana Pacers*,2000,82,56,26,East,240.6,37.2,81,0.459,7.1,18.1,0.392,30,62.8,0.478,19.9,24.5,0.811,10.3,31.9,22.6,6.8,5.1,14.1,21.8,101.3
5,Milwaukee Bucks*,2000,82,42,40,East,242.1,38.7,83.3,0.465,4.8,13,0.369,33.9,70.2,0.483,19,24.2,0.786,12.4,28.9,22.6,8.2,4.6,15,24.6,101.2
6,Los Angeles Lakers*,2000,82,67,15,West,241.5,38.3,83.4,0.459,4.2,12.8,0.329,34.1,70.6,0.482,20.1,28.9,0.696,13.6,33.4,23.4,7.5,6.5,13.9,22.5,100.8
7,Orlando Magic,2000,82,41,41,East,240.9,38.6,85.5,0.452,3.6,10.6,0.338,35.1,74.9,0.468,19.2,26.1,0.735,14,31,20.8,9.1,5.7,17.6,24,100.1
8,Houston Rockets,2000,82,34,48,West,241.8,36.6,81.3,0.45,7.1,19.8,0.358,29.5,61.5,0.48,19.2,26.2,0.733,12.3,31.5,21.6,7.5,5.3,17.4,20.3,99.5
9,Boston Celtics,2000,82,35,47,East,240.6,37.2,83.9,0.444,5.1,15.4,0.331,32.2,68.5,0.469,19.8,26.5,0.745,13.5,29.5,21.2,9.7,3.5,15.4,27.1,99.3
10,Seattle SuperSonics*,2000,82,45,37,West,241.2,37.9,84.7,0.447,6.7,19.6,0.339,31.2,65.1,0.48,16.6,23.9,0.695,12.7,30.3,22.9,8,4.2,14,21.7,99.1
11,Denver Nuggets,2000,82,35,47,West,242.1,37.3,84.3,0.442,5.7,17,0.336,31.5,67.2,0.469,18.7,25.8,0.724,13.1,31.6,23.3,6.8,7.5,15.6,23.9,99
12,Phoenix Suns*,2000,82,53,29,West,241.5,37.7,82.6,0.457,5.6,15.2,0.368,32.1,67.4,0.477,17.9,23.6,0.759,12.5,31.2,25.6,9.1,5.3,16.7,24.1,98.9
13,Minnesota Timberwolves*,2000,82,50,32,West,242.7,39.3,84.3,0.467,3,8.7,0.346,36.3,75.5,0.481,16.8,21.6,0.78,12.4,30.1,26.9,7.6,5.4,13.9,23.3,98.5
14,Charlotte Hornets*,2000,82,49,33,East,241.2,35.8,79.7,0.449,4.1,12.2,0.339,31.7,67.5,0.469,22.7,30,0.758,10.8,32.1,24.7,8.9,5.9,14.7,20.4,98.4
15,New Jersey Nets,2000,82,31,51,East,241.8,36.3,83.9,0.433,5.8,16.8,0.347,30.5,67.2,0.454,19.5,24.9,0.784,12.7,28.2,20.6,8.8,4.8,13.6,23.3,98
16,Portland Trail Blazers*,2000,82,59,23,West,241.2,36.8,78.4,0.47,5,13.8,0.361,31.9,64.7,0.493,18.8,24.7,0.76,11.8,31.2,23.5,7.7,4.8,15.2,22.7,97.5
17,Toronto Raptors*,2000,82,45,37,East,240.9,36.3,83.9,0.433,5.2,14.3,0.363,31.2,69.6,0.447,19.3,25.2,0.765,13.4,29.9,23.7,8.1,6.6,13.9,24.3,97.2
18,Cleveland Cavaliers,2000,82,32,50,East,242.1,36.3,82.1,0.442,4.2,11.2,0.373,32.1,70.9,0.453,20.2,26.9,0.75,12.3,30.5,23.7,8.7,4.4,17.4,27.1,97
19,Washington Wizards,2000,82,29,53,East,241.5,36.7,81.5,0.451,4.1,10.9,0.376,32.6,70.6,0.462,19.1,25.7,0.743,13,29.7,21.6,7.2,4.7,16.1,26.2,96.6
20,Utah Jazz*,2000,82,55,27,West,240.9,36.1,77.8,0.464,4,10.4,0.385,32.1,67.4,0.476,20.3,26.2,0.773,11.4,29.6,24.9,7.7,5.4,14.9,24.5,96.5
21,San Antonio Spurs*,2000,82,53,29,West,242.1,36,78,0.462,4,10.8,0.374,32,67.2,0.476,20.1,27,0.746,11.3,32.5,22.2,7.5,6.7,15,20.9,96.2
22,Golden State Warriors,2000,82,19,63,West,240.9,36.5,87.1,0.42,4.2,13,0.323,32.3,74,0.437,18.3,26.2,0.697,15.9,29.7,22.6,8.9,4.3,15.9,24.9,95.5
23,Philadelphia 76ers*,2000,82,49,33,East,241.8,36.5,82.6,0.442,2.5,7.8,0.323,34,74.8,0.454,19.2,27.1,0.708,14,30.1,22.2,9.6,4.7,15.7,23.6,94.8
24,Miami Heat*,2000,82,52,30,East,241.8,36.3,78.8,0.46,5.4,14.7,0.371,30.8,64.1,0.481,16.4,22.3,0.736,11.2,31.9,23.5,7.1,6.4,15,23.7,94.4
